id;beer_style;bitterness_IBU;diacetyl_concentration;lactic_acid;final_gravity;sodium;free_CO2;dissolved_oxygen;original_gravity;pH;gypsum_level;alcohol_ABV;fermentation_strength;quality
0;Pale;7.997;0.446;0.28;10.803;0.052;24.999;157.026;0.995;3.057;0.466;5.436;9.545;7
1;Pale;6.906;0.222;0.303;6.305;0.034;40.993;130.993;1.012;3.083;0.476;5.137;9.847;6
2;Brown;7.183;0.636;0.071;2.495;0.08;16.998;84.003;1.013;3.509;0.545;4.618;8.771;5
3;Pale;6.403;0.242;0.26;1.506;0.043;34.999;105.001;0.994;3.137;0.308;5.909;10.504;6
4;Brown;7.917;0.182;0.347;1.7;0.053;7.011;14.999;1.002;3.326;0.805;5.674;9.748;7
5;Golden;7.704;0.328;0.481;2.298;0.037;28.015;113.994;0.976;3.199;0.524;6.106;11.161;7
6;Dark;5.892;0.628;0.129;1.993;0.076;32.009;43.987;0.998;3.571;0.718;4.862;8.927;5
7;Dark;10.107;0.929;0.219;3.405;0.118;11.0;85.993;0.996;3.425;0.646;5.39;10.24;4
8;Golden;6.504;0.127;0.271;2.601;0.045;31.998;76.005;0.988;3.222;0.745;5.405;10.457;6
9;Pale;6.302;0.276;0.24;5.817;0.041;52.002;154.994;0.992;3.294;0.365;4.482;8.887;6
10;Pale;6.614;0.347;0.329;4.908;0.034;8.998;125.014;0.993;3.326;0.805;5.718;10.37;5
11;Pale;7.59;0.199;0.376;13.081;0.033;51.997;151.004;0.977;3.177;0.81;4.967;9.383;6
12;Amber;6.812;0.133;0.402;1.401;0.038;19.007;101.991;0.984;3.25;0.602;5.383;9.434;7
13;Pale;7.187;0.158;0.332;1.11;0.015;47.986;115.986;1.001;3.02;0.676;4.77;9.147;6
14;Golden;6.405;0.167;0.256;1.306;0.037;19.999;76.991;1.008;3.602;0.533;4.854;9.303;6
15;Pale;6.605;0.381;0.267;2.81;0.038;16.984;67.002;0.995;3.196;0.459;6.297;11.691;6
16;Golden;7.011;0.304;0.4;8.678;0.062;31.998;141.013;0.983;3.395;0.522;5.008;8.871;6
17;Dark;9.296;0.367;0.388;1.512;0.083;41.006;54.998;1.003;3.445;0.748;5.193;9.418;6
18;Pale;8.205;0.534;0.34;1.206;0.056;17.993;167.009;1.004;3.236;0.392;5.047;9.537;5
